,STATION,NAME,DATE,PRCP
0,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-01-01,1.07
1,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-02-01,2.13
2,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-03-01,2.17
3,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-04-01,2.12
4,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-05-01,4.77
5,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-06-01,4.56
6,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-07-01,2.63
7,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-08-01,1.8
8,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-09-01,3.3
9,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-10-01,0.93
10,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-11-01,6.68
11,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1985-12-01,0.87
12,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-01-01,3.86
13,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-02-01,3.02
14,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-03-01,2.04
15,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-04-01,3.99
16,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-05-01,1.1
17,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-06-01,1.61
18,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-07-01,4.75
19,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-08-01,3.7
20,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-09-01,1.75
21,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-10-01,1.51
22,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-11-01,6.43
23,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1986-12-01,6.74
24,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-01-01,5.63
25,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-02-01,1.02
26,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-03-01,3.26
27,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-04-01,4.74
28,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-05-01,1.7
29,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-06-01,4.22
30,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-07-01,3.7
31,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-08-01,3.85
32,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-09-01,2.99
33,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-10-01,3.02
34,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-11-01,2.73
35,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1987-12-01,2.24
36,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-01-01,3.14
37,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-02-01,3.85
38,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-03-01,2.39
39,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-04-01,2.01
40,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-05-01,5.07
41,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-06-01,1.53
42,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-07-01,6.7
43,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-08-01,2.01
44,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-09-01,2.86
45,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-10-01,3.39
46,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-11-01,6.65
47,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1988-12-01,1.08
48,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-01-01,2.08
49,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-02-01,2.65
50,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-03-01,4.18
51,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-04-01,3.7
52,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-05-01,10.7
53,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-06-01,8.07
54,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-07-01,5.99
55,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-08-01,4.35
56,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-09-01,4.31
57,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-10-01,6.58
58,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-11-01,2.51
59,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1989-12-01,0.61
60,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-01-01,4.41
61,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-02-01,1.17
62,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-03-01,2.33
63,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-04-01,4.64
64,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-05-01,6.97
65,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-06-01,2.37
66,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-07-01,4.37
67,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-08-01,6.68
68,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-09-01,1.8
69,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-10-01,5.03
70,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-11-01,1.59
71,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1990-12-01,3.89
72,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-01-01,3.74
73,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-02-01,1.58
74,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-03-01,3.63
75,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-04-01,3.9
76,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-05-01,4.19
77,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-06-01,1.9
78,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-07-01,2.48
79,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-08-01,7.59
80,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-09-01,2.79
81,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-10-01,1.52
82,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-11-01,1.77
83,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1991-12-01,3.65
84,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-01-01,1.35
85,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-02-01,1.52
86,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-03-01,3.23
87,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-04-01,1.37
88,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-05-01,3.49
89,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-06-01,2.57
90,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-07-01,5.74
91,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-08-01,5.31
92,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-09-01,1.78
93,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-10-01,1.56
94,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-11-01,5.54
95,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1992-12-01,4.93
96,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-01-01,2.0
97,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-02-01,2.2
98,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-03-01,6.83
99,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-04-01,3.06
100,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-05-01,1.88
101,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-06-01,1.15
102,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-07-01,2.39
103,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-08-01,2.17
104,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-09-01,5.56
105,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-10-01,3.72
106,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-11-01,0.88
107,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1993-12-01,3.79
108,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-01-01,4.93
109,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-02-01,3.11
110,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-03-01,5.07
111,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-04-01,2.23
112,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-05-01,4.87
113,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-06-01,1.37
114,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-07-01,2.91
115,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-08-01,6.7
116,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-09-01,4.87
117,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-10-01,1.32
118,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-11-01,3.06
119,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1994-12-01,2.92
120,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-01-01,3.33
121,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-02-01,2.74
122,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-03-01,1.31
123,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-04-01,2.28
124,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-05-01,3.47
125,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-06-01,2.74
126,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-07-01,3.38
127,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-08-01,0.22
128,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-09-01,3.41
129,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-10-01,4.52
130,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-11-01,4.97
131,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1995-12-01,2.07
132,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-01-01,3.9
133,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-02-01,1.89
134,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-03-01,3.45
135,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-04-01,4.54
136,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-05-01,3.17
137,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-06-01,4.31
138,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-07-01,8.81
139,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-08-01,3.06
