,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
0,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-01-01,0.9
1,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-02-01,0.32
2,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-03-01,0.74
3,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-04-01,2.95
4,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-05-01,3.67
5,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-06-01,1.893497942386833
6,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-07-01,4.66
7,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-08-01,2.96
8,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-09-01,3.14
9,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-10-01,1.51
10,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-11-01,0.52
11,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1985-12-01,0.27
12,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-01-01,0.0
13,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-02-01,0.2
14,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-03-01,1.31
15,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-04-01,1.93
16,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-05-01,1.8
17,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-06-01,4.92
18,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-07-01,3.03
19,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-08-01,2.62
20,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-09-01,3.4
21,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-10-01,2.8
22,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-11-01,0.59
23,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1986-12-01,0.75
24,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-01-01,0.18
25,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-02-01,1.22
26,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-03-01,6.54
27,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-04-01,3.22
28,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-05-01,2.39
29,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-06-01,3.78
30,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-07-01,2.65
31,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-08-01,4.49
32,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-09-01,0.43
33,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-10-01,0.93
34,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-11-01,0.95
35,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1987-12-01,0.3
36,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-01-01,0.63
37,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-02-01,0.3
38,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-03-01,0.31
39,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-04-01,1.93
40,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-05-01,0.87
41,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-06-01,1.06
42,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-07-01,3.92
43,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-08-01,1.22
44,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-09-01,2.83
45,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-10-01,0.41
46,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-11-01,0.6
47,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1988-12-01,0.22
48,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-01-01,0.06
49,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-02-01,1.893497942386833
50,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-03-01,0.58
51,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-04-01,0.12
52,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-05-01,2.09
53,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-06-01,3.89
54,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-07-01,4.44
55,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-08-01,1.3
56,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-09-01,3.24
57,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-10-01,1.85
58,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-11-01,0.01
59,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1989-12-01,1.893497942386833
60,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1990-01-01,0.91
