"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-01","1.12"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-02","1.83"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-03","2.29"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-04","1.63"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-05","3.37"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-06","3.94"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-07","3.52"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-08","6.67"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-09","3.00"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-10","1.65"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-11","6.39"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1985-12","1.22"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-01","3.42"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-02","2.84"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-03","3.42"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-04","1.59"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-05","1.31"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-06","7.74"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-07","3.96"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-08","3.32"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-09","1.08"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-10","3.27"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-11","6.01"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1986-12","6.38"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-01","7.28"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-02","0.72"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-03","4.28"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-04","9.46"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-05","1.75"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-06","2.63"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-07","0.82"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-08","2.93"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-09","7.30"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-10","2.73"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-11","3.49"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1987-12","2.13"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-01","2.51"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-02","3.93"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-03","3.52"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-04","1.48"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-05","2.86"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-06","1.29"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-07","7.62"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-08","1.11"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-09","1.29"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-10","1.60"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-11","6.57"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1988-12","1.02"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-01","0.62"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-02","2.51"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-03","3.07"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-04","3.57"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-05","3.55"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-06","2.84"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-07","5.09"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-08","5.92"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-09","4.61"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-10","5.72"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-11","4.13"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1989-12","0.81"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1990-01","3.78"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1990-02","3.60"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1990-03","1.71"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","1990-04","5.94"
