STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-01,,1.8,0,51.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-02,,1.02,0,59
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-03,,1.56,0,60.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-04,,0.15,0,73.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-05,,3.93,0,75.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-06,,9.17,0,80.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-07,,1.72,0,82.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-08,,7.33,0,84.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-09,,8.51,0,80.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-10,,3.13,0,72.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-11,,0.81,0,63.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1970-12,,0.41,0,66.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-01,,0.03,0,62.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-02,,0.22,0,62
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-03,,0,0,68.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-04,,2.29,0,70.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-05,,4.55,0,78.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-06,,1.24,0,82.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-07,,0.31,0,84.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-08,,8.32,0,82.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-09,,12.17,0,81.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-10,,3.96,0,76.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-11,,0.44,0,67
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1971-12,,3.43,0,64.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-01,,1.24,0,61.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-02,,3.41,0,61.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-03,,1.44,0,70.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-04,,1.53,0,76.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-05,,5.99,0,76.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-06,,3.65,0,82
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-07,,2.82,0,83.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-08,,3.74,0,83.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-09,,9.48,0,83.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-10,,0.46,0,76.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-11,,2.49,0,60.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1972-12,,0.18,0,56.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-01,,2.18,0.2,51.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-02,,1.42,1.1,55.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-03,,0.17,0,68.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-04,,1.74,0,69.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-05,,0.58,0,77
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-06,,13.35,0,81.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-07,,0.52,0,84.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-08,,5.63,0,82.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-09,,7.58,0,81.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-10,,9.96,0,76.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-11,,0.31,0,72.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1973-12,,0.12,0,59.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1974-01,,1.99,0,57.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1974-02,,0,0,61.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1974-03,,4.8,0,70.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1974-04,,0.08,0,73.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1974-05,,4.24,0,80.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1974-06,,2.43,0,80.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1974-07,,0.19,0,83.7
