"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-01","0.28"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-02","0.04"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-03","0.80"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-04","1.77"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-05","4.13"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-06","1.80"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-07","0.55"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-08","4.62"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-09","1.29"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-10","1.34"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-11","0.92"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1985-12","0.36"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-01","0.37"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-02","0.26"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-03","0.26"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-04","3.60"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-05","3.11"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-06","3.96"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-07","4.25"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-08","1.61"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-09","4.41"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-10","0.35"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-11","2.09"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1986-12","0.02"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-01","0.14"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-02","1.65"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-03","1.34"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-04","0.13"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-05","4.19"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-06","1.52"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-07","4.59"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-08","3.03"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-09","0.29"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-10","0.10"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-11","0.02"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1987-12","0.13"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-01","0.69"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-02","0.40"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-03","0.92"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-04","0.12"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-05","1.17"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-06","2.18"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-07","0.56"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-08","2.20"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-09","0.63"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-10","0.15"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-11","0.48"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1988-12","0.72"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-01","0.60"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-02","0.22"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-03","0.29"
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.78232","-100.75752","503.2","1989-04","1.87"
