STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-01,,8.22,0,41.2
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-02,,2.26,0,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-03,,3.16,0,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-04,,3.32,0,46.1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-05,,1.17,0,54.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-06,,0.43,0,62.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-07,,0.48,0,64.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-08,,0.32,0,64.5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-09,,2.23,0,58.6
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-10,,2.52,0,50.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-11,,5.04,0,46.5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1970-12,,8.29,2.9,38.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-01,,5.33,9.1,39.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-02,,4.37,2.2,42.3
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-03,,7.11,1.9,41.3
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-04,,2.39,0,48.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-05,,1.43,0,54.5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-06,,2.28,0,55.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-07,,0.68,0,65.5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-08,,0.57,0,67.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-09,,3.52,0,57.6
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-10,,3.57,2,50.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-11,,5.31,0,45.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1971-12,,6.68,10.7,37.5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-01,,7.25,14,36.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-02,,8.11,0.3,41.4
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-03,,6.75,0,46.8
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-04,,4.12,2.3,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-05,,0.69,0,58.4
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-06,,1.82,0,60
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-07,,1.34,0,66
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-08,,1.13,0,66.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-09,,4.11,0,55.3
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-10,,0.72,0,50.1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-11,,3.38,0,46.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1972-12,,8.98,5.6,38.1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-01,,4.3,2.7,38.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-02,,1.89,0,43.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-03,,1.62,0.8,44.1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-04,,1.36,0,48.6
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-05,,1.6,0,56.5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-06,,2.5,0,59.3
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-07,,0.08,0,64.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-08,,0.28,0,61.6
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-09,,1.81,0,61.8
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-10,,3.32,0,52.2
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-11,,7.98,0.2,43.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1973-12,,8.32,0.3,44.4
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-01,,7.78,3.7,38.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-02,,4.02,0,43.1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-03,,5.83,0,46.3
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-04,,2.39,0,50.3
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-05,,1.37,0,54.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-06,,1.25,0,62.6
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-07,,1.51,0,64
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-08,,0.01,0,64.6
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-09,,0.21,0,64.4
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-10,,2,0,52.5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-11,,5.06,0,45.1
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1974-12,,6.45,9.8,42.4
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-01,,6.02,1.3,38.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-02,,5.8,0,40.8
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-03,,2.87,0,42.9
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-04,,2.49,0.2,45.8
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-05,,1.13,0,54.6
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-06,,0.84,0,60.7
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-07,,0.27,0,67.5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-08,,4.59,0,63.2
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-09,,0,0,63
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1975-10,,7.76,0,51.4
